model,min,max,color,red,green,blue
ATE,-1,-0.9,#8B0000,139,0,0
ATE,-0.9,-0.8,#A21900,162,25,0
ATE,-0.8,-0.7,#B93200,185,50,0
ATE,-0.7,-0.6,#D04C00,208,76,0
ATE,-0.6,-0.5,#E76500,231,101,0
ATE,-0.5,-0.4,#FF7F00,255,127,0
ATE,-0.4,-0.3,#F28E29,242,142,41
ATE,-0.3,-0.2,#E69E52,230,158,82
ATE,-0.2,-0.1,#D9AD7B,217,173,123
ATE,-0.1,-0.01,#CDBDA4,205,189,164
ATE,-0.01,0.01,#C1CDCD,193,205,205
ATE,0.01,0.1,#AECDC6,174,205,198
ATE,0.1,0.2,#9CCDBF,156,205,191
ATE,0.2,0.3,#8ACDB8,138,205,184
ATE,0.3,0.4,#78CDB1,120,205,177
ATE,0.4,0.5,#66CDAA,102,205,170
ATE,0.5,0.6,#51B887,81,184,135
ATE,0.6,0.7,#3DA265,61,162,101
ATE,0.7,0.8,#288E43,40,142,67
ATE,0.8,0.9,#147821,20,120,33
ATE,0.9,1,#006400,0,100,0
HTE,-1,-0.75,#8B0000,139,0,0
HTE,-0.75,-0.5,#C43F00,196,63,0
HTE,-0.5,-0.25,#FF7F00,255,127,0
HTE,-0.25,-0.01,#E0A666,224,166,102
HTE,-0.01,0.01,#C1CDCD,193,205,205
HTE,0.01,0.25,#93CDBB,147,205,187
HTE,0.25,0.5,#66CDAA,102,205,170
HTE,0.5,0.75,#339855,51,152,85
HTE,0.75,1,#006400,0,100,0
